17 - 18	145,14	140,00	156,59	166,92	159,03	173,13	168,00	129,90
18 - 19	170,01	163,10	165,00	188,37	183,69	193,87	189,93	153,70
19 - 20	194,77	195,83	191,14	229,28	199,95	195,80	197,23	156,91
20 - 21	184,02	173,20	186,85	185,00	170,41	176,17	174,49	153,64
21 - 22	167,64	160,61	163,00	166,82	163,78	165,01	160,30	141,64
22 - 23	155,42	149,70	158,02	160,00	159,97	158,41	153,46	138,29
23 - 00	154,66	147,00	155,76	153,69	152,01	152,09	149,46	132,98

00 - 01	47,72	121,67	131,86	102,89	113,66	123,82	138,10	149,00
01 - 02	38,10	101,78	127,40	100,68	111,39	120,45	133,00	149,76
02 - 03	33,60	101,73	126,07	99,06	111,02	119,80	128,35	144,76
03 - 04	18,64	91,05	100,70	98,84	109,38	111,00	124,29	135,97
04 - 05	12,95	92,48	110,00	99,09	111,22	111,00	124,41	134,00
05 - 06	27,03	92,66	114,64	105,00	113,02	118,23	128,58	138,70
06 - 07	53,36	91,41	130,03	119,81	137,40	140,68	144,16	159,80
07 - 08	91,72	89,64	130,94	136,97	150,19	158,53	180,33	185,00
08 - 09	95,11	90,38	137,00	140,91	159,16	173,10	190,07	217,09
09 - 10	59,09	93,80	133,60	136,61	150,80	162,98	193,19	201,54
10 - 11	42,65	91,68	128,50	131,89	142,02	152,90	178,44	170,26
11 - 12	29,59	87,51	111,90	125,10	131,49	144,22	159,65	160,84
12 - 13	9,63	79,36	105,13	116,34	121,74	137,25	142,78	149,67
13 - 14	8,35	68,83	88,22	112,64	116,21	135,93	140,92	144,76
14 - 15	9,31	70,00	110,00	114,95	115,87	137,20	147,19	142,77
15 - 16	10,08	74,90	94,12	113,29	117,30	140,94	143,33	144,38
16 - 17	13,50	85,05	105,95	111,04	119,11	144,42	132,53	150,00
17 - 18	58,42	100,79	130,09	130,15	134,70	153,00	148,46	160,91
18 - 19	94,20	120,31	145,40	136,41	147,58	166,89	167,43	183,89
19 - 20	102,16	141,04	159,24	137,61	145,45	170,02	232,47	201,69
20 - 21	84,95	129,97	131,68	125,57	135,10	153,77	162,03	172,60
